430.HK,ORIENTAL EXPLOR,Industrial Metals & Mining
1118.HK,GOLIK HLDGS LTD,Industrial Metals & Mining
263.HK,CH YUNNAN TIN,Industrial Metals & Mining
1001.HK,VAN SHUNG CHONG,Industrial Metals & Mining
2133.HK,CHINA POLYMETALL,Industrial Metals & Mining
637.HK,LEE KEE HOLDINGS,Industrial Metals & Mining
98.HK,XINGFA ALUMINIUM,Industrial Metals & Mining
255.HK,LUNG KEE HLDG,Industrial Metals & Mining
2112.HK,CAA RESOURCES LT,Industrial Metals & Mining
1266.HK,XIWANG SPECIAL S,Industrial Metals & Mining
1090.HK,DA MING INTERNAT,Industrial Metals & Mining
3833.HK,XINXIN MINING-H,Industrial Metals & Mining
3788.HK,CHINA HANKING,Industrial Metals & Mining
1370.HK,HENGSHI MINING,Industrial Metals & Mining
1636.HK,CMRU,Industrial Metals & Mining
1208.HK,MMG,Industrial Metals & Mining
1333.HK,CHINA ZHONGWANG,Industrial Metals & Mining
1053.HK,CHONGQING IRON-H,Industrial Metals & Mining
1378.HK,CHINA HONGQIAO,Industrial Metals & Mining
486.HK,UNITED CO RUSAL,Industrial Metals & Mining
358.HK,JIANGXI COPPER-H,Industrial Metals & Mining
656.HK,FOSUN INTL,Industrial Metals & Mining
8233.HK,CIG YANGTZE PT,Industrial Transportation
8025.HK,ACR HOLDINGS,Industrial Transportation
8348.HK,TIANJIN BINHAI-H,Industrial Transportation
1803.HK,ASR LOGISTICS,Industrial Transportation
935.HK,DRAGON CROWN GRO,Industrial Transportation
8068.HK,NEW UNIVERSE INT,Industrial Transportation
1292.HK,CHANGAN MINSHE-H,Industrial Transportation
560.HK,CHU KONG SHIPPIN,Industrial Transportation
3399.HK,YUEYUN TRANS-H,Industrial Transportation
357.HK,HNA INFRA,Industrial Transportation
3378.HK,XIAMEN PORT-H,Industrial Transportation
1052.HK,YUEXIU TRANSPORT,Industrial Transportation
3382.HK,TIANJIN PORT DEV,Industrial Transportation
1308.HK,SITC,Industrial Transportation
737.HK,HOPEWELL INFR,Industrial Transportation
995.HK,ANHUI EXPRESS-H,Industrial Transportation
44.HK,HONG KG AIRCRAFT,Industrial Transportation
636.HK,KERRY LOGISTICS,Industrial Transportation
107.HK,SICHUAN EXP-H,Industrial Transportation
1668.HK,CHINA SOUTH,Industrial Transportation
598.HK,SINOTRANS LTD-H,Industrial Transportation
3369.HK,QHD PORT-H,Industrial Transportation
152.HK,SHENZ INTL HLDG,Industrial Transportation
1199.HK,COSCO PAC LTD,Industrial Transportation
316.HK,ORIENT OVERSEAS,Industrial Transportation
2880.HK,DALIAN PORT PD-H,Industrial Transportation
694.HK,BEIJING CAP AI-H,Industrial Transportation
576.HK,ZHEJIANGEXPRE-H,Industrial Transportation
177.HK,JIANGSU EXPRES-H,Industrial Transportation
144.HK,CHINA MER HOLD,Industrial Transportation
1919.HK,CHINA COSCO HO-H,Industrial Transportation
765.HK,PERFECTECH INTL,Leisure Goods
2728.HK,SHINHINT ACOUSTI,Leisure Goods
361.HK,SINO GOLF HLDGS,Leisure Goods
638.HK,KIN YAT HOLDINGS,Leisure Goods
1123.HK,CHINA HK PHOTO P,Leisure Goods
912.HK,SUGA INTL HLDGS,Leisure Goods
1126.HK,DREAM INTL LTD,Leisure Goods
180.HK,KADER HLDGS CO,Leisure Goods
1237.HK,MERRY GARDEN HOL,Leisure Goods
328.HK,ALCO HOLDINGS,Leisure Goods
6880.HK,TEMPUS HOLD,Leisure Goods
1348.HK,QUALI-SMART HOLD,Leisure Goods
1249.HK,TONLY ELECTRONIC,Leisure Goods
1005.HK,MATRIX HLDGS LTD,Leisure Goods
635.HK,PLAYMATES HOLDIN,Leisure Goods
869.HK,PLAYMATES TOY,Leisure Goods
8016.HK,CHANGHONG JIAHUA,Leisure Goods
1022.HK,FEIYU,Leisure Goods
136.HK,MASCOTTE HLDGS,Leisure Goods
348.HK,HAIERHEALTHWISE,Leisure Goods
434.HK,BOYAA INTERACTIV,Leisure Goods
978.HK,CHINA MERCHANTS,Leisure Goods
2393.HK,YESTAR INTERNATI,Leisure Goods
8002.HK,IGG,Leisure Goods
777.HK,NETDRAGON WEBS,Leisure Goods
751.HK,SKYWORTH DIGITAL,Leisure Goods
3888.HK,KINGSOFT CORP,Leisure Goods
566.HK,HANERGY TFP,Leisure Goods
966.HK,CHINA TAIPING IN,Life Insurance
1299.HK,AIA,Life Insurance
2318.HK,PING AN-H,Life Insurance
2628.HK,CHINA LIFE-H,Life Insurance
426.HK,ONE MEDIA GROUP,Media
8243.HK,DAHE MEDIA CO-H,Media
730.HK,SHOUGANG GRAND,Media
550.HK,CINMEDIA,Media
8271.HK,GLOBAL DIGITAL C,Media
72.HK,MODERN MEDIA,Media
423.HK,HK ECONOMIC TIME,Media
8219.HK,BRANDING CHINA,Media
888.HK,ROADSHOW HLDGS,Media
1105.HK,SING TAO NEWS CO,Media
571.HK,ESUN HOLDINGS,Media
1000.HK,BEIJING MEDIA -H,Media
800.HK,A8 NEW MEDIA,Media
1132.HK,ORANGE SKY GOLDE,Media
1566.HK,CHINA ANIMATION,Media
282.HK,NEXT MEDIA LTD,Media
326.HK,CHINA STAR LTD,Media
18.HK,ORIENTAL PRESS G,Media
752.HK,PICO FAR EAST,Media
